uid,platform_number,cycle_number,latitude,longitude,pressure,temperature,salinity,juld
109,3901831,224,-50.18681,61.64761,208.0399932861328,2.2660000324249268,33.91299819946289,19723.959328703702
110,3901831,224,-50.18681,61.64761,210.0800018310547,2.2200000286102295,33.9119987487793,19723.959328703702
111,3901831,224,-50.18681,61.64761,212.0,2.2100000381469727,33.9109992980957,19723.959328703702
112,3901831,224,-50.18681,61.64761,213.9600067138672,2.2209999561309814,33.915000915527344,19723.959328703702
113,3901831,224,-50.18681,61.64761,215.9600067138672,2.2070000171661377,33.91699981689453,19723.959328703702
114,3901831,224,-50.18681,61.64761,217.9600067138672,2.1630001068115234,33.917999267578125,19723.959328703702
115,3901831,224,-50.18681,61.64761,220.0,2.1500000953674316,33.917999267578125,19723.959328703702
116,3901831,224,-50.18681,61.64761,222.0399932861328,2.1419999599456787,33.91999816894531,19723.959328703702
117,3901831,224,-50.18681,61.64761,223.9600067138672,2.119999885559082,33.91999816894531,19723.959328703702
118,3901831,224,-50.18681,61.64761,225.9199981689453,2.1070001125335693,33.922000885009766,19723.959328703702
119,3901831,224,-50.18681,61.64761,228.0,2.1470000743865967,33.928001403808594,19723.959328703702
120,3901831,224,-50.18681,61.64761,230.0399932861328,2.1480000019073486,33.933998107910156,19723.959328703702
121,3901831,224,-50.18681,61.64761,232.0,2.1559998989105225,33.9379997253418,19723.959328703702
122,3901831,224,-50.18681,61.64761,234.0399932861328,2.1589999198913574,33.94200134277344,19723.959328703702
123,3901831,224,-50.18681,61.64761,236.0800018310547,2.1500000953674316,33.94499969482422,19723.959328703702
124,3901831,224,-50.18681,61.64761,237.9600067138672,2.1500000953674316,33.94599914550781,19723.959328703702
125,3901831,224,-50.18681,61.64761,239.9600067138672,2.1530001163482666,33.95000076293945,19723.959328703702
126,3901831,224,-50.18681,61.64761,241.9199981689453,2.1610000133514404,33.95600128173828,19723.959328703702
127,3901831,224,-50.18681,61.64761,243.9600067138672,2.1689999103546143,33.95899963378906,19723.959328703702
128,3901831,224,-50.18681,61.64761,246.0399932861328,2.184000015258789,33.9630012512207,19723.959328703702
129,3901831,224,-50.18681,61.64761,247.9600067138672,2.190999984741211,33.96699905395508,19723.959328703702
130,3901831,224,-50.18681,61.64761,249.9600067138672,2.197000026702881,33.97100067138672,19723.959328703702
131,3901831,224,-50.18681,61.64761,252.0,2.2100000381469727,33.979000091552734,19723.959328703702
132,3901831,224,-50.18681,61.64761,253.9199981689453,2.240999937057495,33.98899841308594,19723.959328703702
133,3901831,224,-50.18681,61.64761,255.9600067138672,2.2720000743865967,33.99800109863281,19723.959328703702
134,3901831,224,-50.18681,61.64761,258.0,2.2909998893737793,34.00299835205078,19723.959328703702
135,3901831,224,-50.18681,61.64761,260.0400085449219,2.2990000247955322,34.00699996948242,19723.959328703702
136,3901831,224,-50.18681,61.64761,262.0400085449219,2.305000066757202,34.0099983215332,19723.959328703702
137,3901831,224,-50.18681,61.64761,264.0,2.3239998817443848,34.02399826049805,19723.959328703702
138,3901831,224,-50.18681,61.64761,266.0,2.3369998931884766,34.03099822998047,19723.959328703702
139,3901831,224,-50.18681,61.64761,268.0400085449219,2.3480000495910645,34.0359992980957,19723.959328703702
140,3901831,224,-50.18681,61.64761,269.9599914550781,2.3499999046325684,34.03799819946289,19723.959328703702
141,3901831,224,-50.18681,61.64761,271.8800048828125,2.3519999980926514,34.040000915527344,19723.959328703702
142,3901831,224,-50.18681,61.64761,273.8800048828125,2.3559999465942383,34.04199981689453,19723.959328703702
